District,Local Government,Network,Investment ID,Investment Name, 2024-25 to 2027-28 total budget ($'000) ,Committed total budget ($'000),Australian Government contribution ($’000),Queensland Government contribution ($’000),Local Government/Other Contribution ($’000),Estimated expenditure to 30 June 2024 ($’000),2024-25 ($’000), 2025-26 ($’000),2025-26 to 2026-27 ($'000),2026-27 to 2027-28 ($'000),2026-27 ($’000),2027-28 ($’000),Beyond ($’000),Endnotes,Web Link,Map,Midpoint Latitude,Midpoint Longitude
Northern,Townsville City,State,2292045,"South Townsville Road (Railway Avenue), Rooneys Bridge to Boundary Street, strengthen pavement and improve safety, planning",1051818,1300000,0,1300000,0,248182,350000,701818,0,0,0,0,0,,,1,-19.277533,146.815631
Northern,Townsville City,State,3116465,"South Townsville Road, upgrade safety and efficiency, planning",5000000,5000000,0,5000000,0,0,200000,700000,4100000,4100000,1900000,2200000,0,,,1,-19.284235,146.814629
Northern,Townsville City,State,2419830,"Townsville Connection Road (Stuart Drive), Bowen Road Bridge (Idalia), duplicate bridge and approaches",94042779,99800000,0,99800000,0,5757221,20000000,32500000,41542779,41542779,41542779,0,0,,https://www.tmr.qld.gov.au/projects/townsville-connection-road-stuart-drive-bowen-road-bridge-idalia-duplicate-bridge-and-approaches,1,-19.304715,146.802237
Northern,Townsville City,State,1810128,"Townsville Connection Road (Stuart Drive), University Road to Bowen Road Bridge (Idalia), improve safety",68105003,96000000,0,96000000,0,27894997,29550422,28373355,10181226,10181226,10181226,0,0,,https://www.tmr.qld.gov.au/projects/townsville-connection-road-idalia-university-road-to-bowen-road-bridge-improve-safety ,1,-19.310186,146.806439
Northern,Townsville City,State,2243756,Townsville Urban Transport Network Sequencing Plan,560000,1361500,0,1361500,0,801500,560000,0,0,0,0,0,0,,,0,,
Northern,Townsville City,Local,2743725,"Hugh Street and Fulham Road (Pimlico) (Stage 2), improve intersection",1452692,6867500,0,1452692,5414808,0,0,0,1452692,1452692,1452692,0,0,,,1,-19.28879,146.781985
Northern,Townsville City,Local,1817986,"Jones Road, Lansdown Eco-Industrial Precinct (Calcium), construct and upgrade roads",1200000,6993732,2000000,0,4993732,800000,1200000,0,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-19.600317,146.824429
Northern,Townsville City,Local,1870433,"Lansdown Eco-Industrial Precinct (Calcium), upgrade road and rail infrastructure, funding commitment",7200000,12000000,0,12000000,0,4800000,0,0,7200000,7200000,7200000,0,0,Project details and timing subject to further planning and negotiation with the Townsville City Council.,,1,-19.599197,146.825119
Northern,Townsville City,Local,3124288,"Liberty Drive, Abattoir Road to Graham Avenue, construct to sealed standard",2905384,12800000,0,2905384,9894616,0,1452692,1452692,0,0,0,0,0,,,1,-19.280875,146.718442
Northern,Various local governments,State,2215156,Maintenance and repair of safety treatments,440000,1060000,0,1060000,0,620000,220000,220000,0,0,0,0,0,,,0,,
Northern,Other works,,,Construction Works,137101867,0,101155902,35294602,651363,0,7493717,7654502,121953648,121953648,35389904,86563744,0,,,0,,
Northern,Other works,,,Corridor and Minor Safety Enhancements,29563616,0,2594779,26968837,0,0,4018159,5007765,20537692,20537692,11736718,8800974,0,,,0,,
Northern,Other works,,,"Corridor, Roadway and Structures Management",3899705,0,0,3899705,0,0,1035000,942109,1922596,1922596,953245,969351,0,,,0,,
Northern,Other works,,,Local Government Transport Development,29037620,0,3653000,25384620,65000,0,9139107,9888607,10009906,10009906,6128607,3881299,0,,,0,,
Northern,Other works,,,Programmed Maintenance,76910371,0,7778610,69131761,0,0,18838451,18840205,39231715,39231715,19341735,19889980,0,,,0,,
Northern,Other works,,,Rehabilitation,61069013,0,5652735,55416278,0,0,20351560,11856204,28861249,28861249,13336751,15524498,0,,,0,,
Northern,Other works,,,Routine Maintenance,59922913,0,5799463,54123450,0,0,13443594,14524630,31954689,31954689,15317498,16637191,0,,,0,,
Northern,Other works,,,Traffic Management Enhancements,4655764,0,0,4655764,0,0,2200000,2455764,0,0,0,0,0,,,0,,
Northern,Other works,,,Traffic Operations,6978000,0,740000,6238000,0,0,6428000,550000,0,0,0,0,0,,,0,,
Northern,Other works,,,Transport Planning,10692172,0,0,10692172,0,0,3643428,2579602,4469142,4469142,4469142,0,0,,,0,,
North West,Burke Shire,State,2995497,"Wills Developmental Road (Julia Creek - Burketown), 2023 Disaster Recovery Funding Arrangements reconstruction works",1303117,1303117,977338,325779,0,0,1225093,78024,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-18.566488,139.295314
North West,Burke Shire,Local,1873563,"Floraville Road and Truganini Road, upgrade culverts",640000,2053162,0,1026581,1026581,386581,640000,0,0,0,0,0,0,,,1,-17.824233,139.563377
North West,Carpentaria Shire,State,800390,"Burke Developmental Road (Cloncurry - Normanton), various locations, widen pavement",11140000,11240000,0,11240000,0,100000,4640000,6000000,500000,500000,500000,0,0,,,1,-18.680295,140.512521
North West,Carpentaria Shire,State,3023807,"Burke Developmental Road (Normanton - Dimbulah), 2023 Disaster Recovery Funding Arrangements reconstruction works",10490554,14574354,10930766,3643588,0,4083800,8992806,1497748,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-16.732525,141.960819
North West,Carpentaria Shire,State,2905155,"Burke Developmental Road (Normanton - Dimbulah), Clark Creek, upgrade culvert",4400000,4500000,0,4500000,0,100000,1500000,2900000,0,0,0,0,0,,,1,-16.438813,142.08185
North West,Carpentaria Shire,State,2905095,"Burke Developmental Road (Normanton - Dimbulah), Mentana Creek, replace culvert",3500000,3800000,0,3800000,0,300000,1700000,1040000,760000,760000,760000,0,0,,,1,-16.372735,142.115083
North West,Carpentaria Shire,State,2905154,"Burke Developmental Road (Normanton - Dimbulah), construct emergency airstrip",3200000,3250000,0,3250000,0,50000,2200000,893700,106300,106300,106300,0,0,,,1,-16.04685,142.37946
North West,Carpentaria Shire,State,2905093,"Burke Developmental Road (Normanton - Dunbar), raising of formation",2500000,4500000,0,4500000,0,2000000,2000000,500000,0,0,0,0,0,,,1,-16.647187,142.02106
North West,Carpentaria Shire,Local,2691065,"Iffley Road, import and place gravel",2103343,5258359,4206687,0,1051672,2103344,2103343,0,0,0,0,0,0,Australian Government Remote Roads Upgrade Pilot Program,,1,-18.675175,141.076978
North West,Carpentaria Shire,Local,2691104,"Koolatah - Dixie Road, widen and seal",1238821,3097053,2477642,0,619411,1238821,1238821,0,0,0,0,0,0,Australian Government Remote Roads Upgrade Pilot Program,,1,-15.989587,142.404475
North West,Cloncurry Shire,National,2995717,"Barkly Highway (Cloncurry - Mount Isa), 2023 Disaster Recovery Funding Arrangements reconstruction works",1347467,1347467,1010600,336867,0,0,1271195,76272,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-20.778725,140.128537
North West,Cloncurry Shire,National,2340056,"Flinders Highway (Julia Creek - Cloncurry), Canal Creek, replace bridge and approaches",9400000,10000000,8000000,2000000,0,600000,100000,1000000,8300000,8300000,8300000,0,0,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",,1,-20.6593,140.886655
North West,Cloncurry Shire,State,2340394,"Cloncurry - Dajarra Road, Malbon River floodway, upgrade culvert and approaches",19370000,20000000,6000000,14000000,0,630000,100000,5770000,13500000,13500000,7000000,6500000,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration. Funding splits under negotiation.",,1,-21.068577,140.285018
North West,Cloncurry Shire,Local,2998761,Cattle loading yards (Cloncurry),550000,1000000,0,1000000,0,450000,550000,0,0,0,0,0,0,,,1,-20.686121,140.512788
North West,Cloncurry Shire,Local,3007586,"Scheaffe Street (Cloncurry), Coppermine Creek, replace bridge",5000000,8532015,5000000,0,3532015,0,2000000,2000000,1000000,1000000,1000000,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-20.708917,140.505271
North West,Doomadgee Aboriginal Shire,Local,2936669,"Various outstation access roads, resheet gravel",591045,1151031,0,1151031,0,559986,197015,197015,197015,197015,197015,0,0,,,1,-17.707314,138.743007
North West,Flinders Shire,National,2340159,"Flinders Highway (Hughenden - Richmond), various locations, improve pavement and culvert",20975000,22225000,17780000,4445000,0,1250000,100000,17012000,3863000,3863000,3863000,0,0,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",,1,-20.862285,143.943711
North West,Flinders Shire,State,1904899,"Hughenden - Muttaburra Road, construct to a sealed standard",767910,1971660,0,1971660,0,1203750,428955,188955,150000,150000,150000,0,0,Transport Infrastructure Development Scheme,,1,-20.865657,144.204423
North West,Flinders Shire,Local,1904881,"Old Richmond Road, form and seal",1280000,4970000,0,2485000,2485000,1205000,440000,440000,400000,400000,400000,0,0,,,1,-20.734541,143.921695
North West,Flinders Shire,Local,1106598,"Various roads, install or replace floodways",902000,2897260,0,1448630,1448630,546630,301000,301000,300000,300000,300000,0,0,,,0,,
North West,McKinlay Shire,National,3024744,"Flinders Highway (Julia Creek - Cloncurry) and Wills Developmental Road, upgrade intersection",3400000,3500000,1750000,1750000,0,100000,3400000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-20.658242,141.706571
North West,McKinlay Shire,National,2340058,"Flinders Highway (Richmond - Julia Creek), Alick Creek, upgrade floodway and install major culvert",29050000,30000000,24000000,6000000,0,950000,100000,1000000,27950000,27950000,16090000,11860000,0,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",,1,-20.668884,142.140333
North West,McKinlay Shire,National,3024746,"Flinders Highway (Richmond - Julia Creek), improve rest area",1140000,1200000,600000,600000,0,60000,1140000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-20.671313,142.150955
North West,McKinlay Shire,National,3010621,"Landsborough Highway (Kynuna - Cloncurry), 2023 Disaster Recovery Funding Arrangements reconstruction works",1976000,1976000,1482000,494000,0,0,1861747,114253,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-21.33621,141.433148
North West,McKinlay Shire,National,2339886,"Landsborough Highway (Kynuna - Cloncurry), McKinlay River, improve pavement and drainage works",24500000,25500000,20400000,5100000,0,1000000,100000,5900000,18500000,18500000,18500000,0,0,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",,1,-21.251113,141.267586
North West,McKinlay Shire,National,2339972,"Landsborough Highway (Kynuna - Cloncurry), Nora Creek, improve pavement and drainage works",6100000,6500000,5200000,1300000,0,400000,100000,250000,5750000,5750000,5750000,0,0,,,1,-21.220741,141.22786
North West,McKinlay Shire,National,2339651,"Landsborough Highway (Kynuna - Cloncurry), Rutchillo Creek, improve pavement and drainage works",4600000,5000000,4000000,1000000,0,400000,100000,4500000,0,0,0,0,0,,,1,-21.18564,141.18505
North West,McKinlay Shire,National,3024958,"Landsborough Highway (Kynuna - Cloncurry), Wild Duck Creek, widening of floodway",6500000,6500000,3250000,3250000,0,0,6500000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-21.468742,141.678661
North West,McKinlay Shire,Local,1904904,"Byrimine Road, construct to a sealed standard",500000,2210000,0,1105000,1105000,605000,200000,50000,250000,250000,250000,0,0,,,1,-20.024026,141.006631
North West,Mount Isa City,State,3231563,"Gregory Downs - Camooweal Road, 2023 Disaster Recovery Funding Arrangements betterment works",8000000,8000000,4000000,4000000,0,0,7547170,452830,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-19.403334,138.985992
North West,Mount Isa City,State,2914006,"Gregory Downs - Camooweal Road, 2023 Disaster Recovery Funding Arrangements reconstruction works",2246739,4964472,3723355,1241117,0,2717733,1941237,305502,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-19.560805,138.818518
North West,Mount Isa City,State,2383061,"Gregory Downs - Camooweal Road, progressive sealing",5000000,5000000,0,5000000,0,0,0,1000000,4000000,4000000,0,4000000,0,,,1,-19.507989,138.930146
North West,Richmond Shire,National,2340086,"Flinders Highway (Richmond - Julia Creek), various locations, improve pavement and upgrade culvert",21550000,22500000,18000000,4500000,0,950000,100000,14470000,6980000,6980000,6980000,0,0,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",,1,-20.699998,142.532036
North West,Richmond Shire,State,2340473,"Richmond - Winton Road, strengthen and widen pavement",4596000,13000000,10400000,2600000,0,8404000,1861000,2640000,95000,95000,95000,0,0,,https://www.tmr.qld.gov.au/projects/richmond-winton-road-pave-and-seal ,1,-21.46976,142.770879
North West,Richmond Shire,Local,1107203,"Croydon - Richmond Road, reseal bitumen",600000,2200000,0,1100000,1100000,500000,200000,200000,200000,200000,200000,0,0,,,1,-20.279887,142.871134
North West,Richmond Shire,Local,2271225,"Maxwelton - Frontage Road, various locations, rehabilitate and widen",1200000,2400000,0,1200000,1200000,0,400000,400000,400000,400000,400000,0,0,,,1,-20.881028,142.640535
North West,Various local governments,State,3025106,"North West District, Township Entry Treatments, various locations",3000000,3000000,1500000,1500000,0,0,3000000,0,0,0,0,0,0,Australian Government Road Safety Program,,0,,
North West,Various local governments,State,3207680,Rest areas and stopping places management,910000,1820000,0,1820000,0,910000,910000,0,0,0,0,0,0,,,0,,
North West,Other works,,,Construction Works,1344578,0,642556,702022,0,0,0,0,1344578,1344578,1344578,0,0,,,0,,
North West,Other works,,,Corridor and Minor Safety Enhancements,5637351,0,485836,5151515,0,0,2550760,1697518,1389073,1389073,686461,702612,0,,,0,,
North West,Other works,,,"Corridor, Roadway and Structures Management",2499294,0,0,2499294,0,0,516309,649892,1333093,1333093,662451,670642,0,,,0,,
North West,Other works,,,Local Government Transport Development,36282788,0,16000000,20282788,0,0,5126303,6666520,24489965,24489965,9546475,14943490,0,,,0,,
North West,Other works,,,Natural Disaster Rehabilitation and Replacement,26694234,0,20020680,6673554,0,0,10907314,15000000,786920,786920,786920,0,0,,,0,,
North West,Other works,,,Programmed Maintenance,46931065,0,8564438,38366627,0,0,11326416,11525597,24079052,24079052,11785634,12293418,0,,,0,,
North West,Other works,,,Rehabilitation,41161104,0,6473534,34687570,0,0,12147643,9294151,19719310,19719310,9650372,10068938,0,,,0,,
North West,Other works,,,Routine Maintenance,96114161,0,6654361,89459800,0,0,22614026,23137734,50362401,50362401,24253024,26109377,0,,,0,,
North West,Other works,,,Traffic Management Enhancements,350000,0,0,350000,0,0,350000,0,0,0,0,0,0,,,0,,
North West,Other works,,,Traffic Operations,572000,0,0,572000,0,0,572000,0,0,0,0,0,0,,,0,,
North West,Other works,,,Transport Planning,3300000,0,0,3300000,0,0,1200000,1200000,900000,900000,900000,0,0,,,0,,
Far North,Cairns Regional,National,385798,"Bruce Highway (Innisfail - Cairns) and Munro Street (Babinda), upgrade intersection",3672743,7230000,5784000,1446000,0,3557257,500000,17174,3155569,3155569,3155569,0,0,,https://www.tmr.qld.gov.au/projects/bruce-highway-innisfail-cairns-and-munro-street-babinda-intersection-upgrade ,1,-17.344139,145.925001
Far North,Cairns Regional,National,1176520,"Bruce Highway, Cairns Southern Access Corridor (Stage 5), Foster Road, funding commitment",63793217,225000000,180000000,45000000,0,11252520,1597000,1000000,61196217,61196217,5000000,56196217,149954263,"The project is in the pre-business case stage, with scope, cost and timing subject to further planning and business case development, and consideration.",https://www.tmr.qld.gov.au/projects/Cairns-Bruce-Highway-Upgrade-master-plan ,1,-16.989514,145.741467
Far North,Cairns Regional,National,1351442,"Captain Cook Highway, Cairns CBD to Smithfield, funding commitment",96040171,359000000,287200000,71800000,0,23727698,2605000,11005000,82430171,82430171,19816203,62613968,239232131,"The project is in the pre-business case stage, with scope, cost and timing subject to further planning and business case development, and consideration.",https://www.tmr.qld.gov.au/projects/captain-cook-highway-cairns-cbd-to-smithfield-upgrade ,1,-16.863993,145.731142
Far North,Cairns Regional,State,2327752,"Barron River to Smithfield Cycleway, design separated cycleway",1931844,1940000,0,1940000,0,8156,0,0,1931844,1931844,1931844,0,0,,,1,-16.85316,145.719863
Far North,Cairns Regional,State,2983998,"Cairns Southern Access Cycleway, Thomson Road to Bana Gindarja Creek, construct cycleway",880000,2200000,1100000,1100000,0,1320000,880000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-17.012646,145.744762
Far North,Cairns Regional,State,1249733,"Cairns Southern Access Cycleway, construct cycleway",15409764,41529243,33223394,8305849,0,26119479,4200000,1716190,9493574,9493574,9493574,0,0,"Forms part of the Bruce Highway, Cairns Southern Access Stage 2 (Robert Road to Foster Road) project.",https://www.tmr.qld.gov.au/projects/Bruce-Highway-Cairns-Southern-Access-Cycleway ,1,-17.013342,145.744594
Far North,Cairns Regional,State,1810618,"Cairns Western Arterial Road, Redlynch Connector Road to Captain Cook Highway, funding commitment",197326576,300000000,240000000,60000000,0,26673424,15000000,18000000,164326576,164326576,73000000,91326576,76000000,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, consideration and negotiation with the Australian Government.",https://www.tmr.qld.gov.au/projects/cairns-western-arterial-road-duplication ,1,-16.873802,145.685845
Far North,Cairns Regional,State,1496643,"Cairns Western Arterial Road, upgrade strategy, planning",1500000,1500000,0,1500000,0,0,750000,750000,0,0,0,0,0,,,1,-16.89799,145.709504
Far North,Cairns Regional,State,3042944,"Gillies Range Road (Little Mulgrave), undertake safety improvements",2112000,2112000,0,2112000,0,0,252000,1334000,526000,526000,526000,0,0,Safer Roads Sooner Program,,1,-17.099589,145.78011
Far North,Cairns Regional,State,2745763,"Mulgrave Road, Gordon Creek, construct active transport bridge and approaches",4250000,4250000,0,4250000,0,0,0,0,4250000,4250000,4250000,0,0,,,1,-16.953821,145.746444
Far North,Cairns Regional,Local,1672443,"Half Moon Creek, construct groyne",500000,1000000,0,1000000,0,500000,0,0,500000,500000,500000,0,0,,,0,,
Far North,Cassowary Coast Regional,National,386517,"Bruce Highway (Ingham - Innisfail), Dallachy Road, install floodway",14581060,18000000,8800000,9200000,0,3418940,50000,50000,14481060,14481060,6381060,8100000,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration. Funding splits under negotiation.",,1,-17.96197,145.935831
Far North,Cassowary Coast Regional,National,386179,"Bruce Highway (Innisfail - Cairns), Innisfail Bypass, plan and preserve corridor",6513104,9000000,7200000,1800000,0,2486896,313104,25000,6175000,6175000,3000000,3175000,0,,,0,,
Far North,Cassowary Coast Regional,State,2817993,"Bramble Street (Kurrimine Beach), upgrade boat ramp and construct walkway",2500000,3500000,0,3500000,0,1000000,2500000,0,0,0,0,0,0,,,1,-17.775709,146.109387
Far North,Cassowary Coast Regional,Local,2729045,"Mundoo Road, Bamboo Creek, upgrade bridge",1230000,2460000,0,1230000,1230000,0,722958,507042,0,0,0,0,0,,,1,-17.565068,146.002184
Far North,Cook Shire,State,2947178,"Peninsula Developmental Road (Coen - Weipa), 2023 Disaster Recovery Funding Arrangements reconstruction works",3298839,3498839,2624130,874709,0,200000,3096421,202418,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-13.050497,142.637652
Far North,Cook Shire,State,1445971,"Peninsula Developmental Road (Coen - Weipa), Archer River Crossing, construct bridge",61285483,131252052,105001642,26250410,0,69966569,24866521,6955646,29463316,29463316,29463316,0,0,Cape York Region Package Stage 2,https://www.tmr.qld.gov.au/projects/cape-york-region-package-stage-2 ,1,-13.433669,142.946253
Far North,Cook Shire,State,2946634,"Peninsula Developmental Road (Laura - Coen), 2022 Disaster Recovery Funding Arrangements reconstruction works",647069,1112439,834330,278109,0,465370,647069,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-14.558069,143.431612
Far North,Cook Shire,State,2903444,"Peninsula Developmental Road (Laura - Coen), 2023 Disaster Recovery Funding Arrangements reconstruction works",1938751,2138751,1604064,534687,0,200000,1814545,124206,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-14.702682,143.496548
Far North,Cook Shire,State,1447586,"Peninsula Developmental Road (Laura - Coen), Yarraden to Three Sisters (Part A), pave and seal",13854765,17640954,14112763,3528191,0,3786189,8902835,2060984,2890946,2890946,2890946,0,0,Cape York Region Package Stage 2,https://www.tmr.qld.gov.au/projects/cape-york-region-package-stage-2 ,1,-14.262559,143.294422
Far North,Cook Shire,State,3166755,"Rossville Bloomfield Road (Ayton), repair and reinstall pontoon",1100000,1100000,0,1100000,0,0,1100000,0,0,0,0,0,0,,,1,-15.928853,145.34887
Far North,Cook Shire,Local,2709762,"Charlotte Street (Cooktown), widen pavement and construct footpath",196379,2265476,0,1132738,1132738,936359,196379,0,0,0,0,0,0,,,1,-15.465831,145.249852
Far North,Etheridge Shire,State,3158057,"Gulf Developmental Road (Croydon - Georgetown), 2023 Disaster Recovery Funding Arrangements reconstruction works",957121,1007496,755622,251874,0,50375,755622,201499,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-18.278393,143.264372
Far North,Etheridge Shire,State,2361416,"Gulf Developmental Road (Georgetown - Mount Garnet) (Package 4), strengthen and widen pavement",11455000,12060000,9648000,2412000,0,605000,2000000,6000000,3455000,3455000,2255000,1200000,0,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",,1,-18.212721,144.080362
Far North,Mapoon Aboriginal Shire,Local,3206962,"Cullen Point barge ramp, construct rock groyne",1188500,1188500,0,1188500,0,0,1188500,0,0,0,0,0,0,,,1,-11.957585,141.907644
Far North,Mareeba Shire,State,2983374,"Kennedy Highway (Cairns - Mareeba) and Kennedy Highway (Mareeba - Ravenshoe), upgrade intersection",6000000,15000000,7500000,7500000,0,9000000,3000000,3000000,0,0,0,0,0,Australian Government Road Safety Program,,1,-17.013728,145.425177
Far North,Mareeba Shire,State,1913999,"Kennedy Highway (Cairns - Mareeba), Barron River bridge upgrade, planning",2221486,8980000,0,8980000,0,6758514,2221486,0,0,0,0,0,0,,https://www.tmr.qld.gov.au/projects/barron-river-bridge-kuranda-management ,1,-16.816302,145.634037
Far North,Mareeba Shire,State,3095406,"Kennedy Highway (Cairns - Mareeba), Barron River bridge, preconstruction",14800000,15000000,0,15000000,0,200000,6000000,4300000,4500000,4500000,4500000,0,0,"Funding is for progressing pre-construction activities only. Project details, cost and timing subject to further planning and consideration.",,1,-16.814713,145.63531
Far North,Mareeba Shire,State,2983678,"Mulligan Highway (Mareeba - Mount Molloy), Mulligan Highway and Bilwon Road, upgrade intersection",2240000,5600000,2800000,2800000,0,3360000,2240000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-16.924736,145.418518
Far North,Mareeba Shire,Local,2361982,"Ootann Road, Almaden to Kennedy Highway (Gunnawarra), Mareeba Section, widen and seal pavement",2126400,3322500,2658000,0,664500,531600,1117750,1008650,0,0,0,0,0,,,1,-17.777096,144.892799
Far North,Northern Peninsula Area Regional,Local,3207063,"Northern Peninsula Airport, upgrade runway",1499466,1499466,0,1499466,0,0,1499466,0,0,0,0,0,0,,,1,-10.944641,142.453082
Far North,Tablelands Regional,State,2983612,"Gillies Range Road, widen pavement and improve safer roadsides",2346000,5865000,2932500,2932500,0,3519000,2346000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-17.281165,145.603396
Far North,Tablelands Regional,State,2983465,"Gillies Range Road, widen pavement and install guardrail",4374000,10935000,5467500,5467500,0,6561000,4374000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-17.260847,145.622253
Far North,Tablelands Regional,State,1474076,"Malanda - Lake Barrine Road, improve safety",9046877,9930000,0,9930000,0,883123,1850000,4200000,2996877,2996877,2996877,0,0,Safer Roads Sooner Program,,1,-17.336562,145.630546
Far North,Tablelands Regional,Local,2361904,"Ootann Road, Almaden to Kennedy Highway (Gunnawarra), Tablelands Section, widen and seal pavement",2611200,4080000,3264000,0,816000,652800,1611200,1000000,0,0,0,0,0,,,1,-17.790207,144.96324
Far North,Tablelands Regional,Local,3081481,"Priors Creek, Silo Road to Cook Street, construct active transport facilities",1103199,3773594,0,1575998,2197596,472799,1103199,0,0,0,0,0,0,,,1,-17.2646,145.475056
Far North,Torres Strait Island Regional,Local,3207086,"Poruma Island Airport, safety improvements",1580000,1580000,0,1580000,0,0,1558759,21241,0,0,0,0,0,,,1,-10.050098,143.071072
Far North,Torres Strait Island Regional,Local,3010674,"School Road (Saibai Island), rehabilitate pavement",6491500,6491500,0,6491500,0,0,1500000,2615000,2376500,2376500,2376500,0,0,,,1,-9.377876,142.621182
Far North,Various local governments,State,3243211,"Cooktown to Weipa Corridor upgrade, Future Stages of the Cape York Region Package (Stage 3), funding commitment",20000000,60000000,0,60000000,0,0,0,0,20000000,20000000,5000000,15000000,40000000,"Queensland Government's 20 per cent contribution to the next stage of the Cape York Region Package, subject to negotiation with the Australian Government.  Funding will focus on continued progressive sealing of the PDR, with initial priorities being sections just north of Yarraden.",,0,,
Far North,Various local governments,State,3150398,"Far North District, upgrade unsealed roads, planning",1000000,1000000,0,1000000,0,0,0,500000,500000,500000,450000,50000,0,,,0,,
Far North,Various local governments,State,1903969,"Far North District, width deficient roads upgrade strategy, planning",1050000,1100000,0,1100000,0,50000,740000,310000,0,0,0,0,0,,,0,,
Far North,Various local governments,State,2383189,"Kennedy Highway (Mareeba - Ravenshoe), design and construct overtaking lanes",7479842,8100605,0,8100605,0,620763,2100605,3799237,1580000,1580000,1580000,0,0,,,1,-17.148714,145.437764
Far North,Various local governments,State,2713515,"Kuranda Range Road, safety and resilience upgrades, funding commitment",155500000,262500000,210000000,52500000,0,750000,2000000,5000000,148500000,148500000,15000000,133500000,106250000,Project details and timing subject to further planning and negotiation with the Australian Government.,,1,-16.839119,145.671957
Far North,Various local governments,State,2480221,"Kuranda Range section, install fixed speed cameras, various locations",480000,1000000,0,1000000,0,520000,10000,470000,0,0,0,0,0,,,0,,
Far North,Various local governments,State,3149913,"Mareeba - Charters Towers, route upgrade strategy, planning",1800000,1800000,0,1800000,0,0,0,850000,950000,950000,900000,50000,0,,,0,,
Far North,Various local governments,State,1902301,"Palmerston Highway (Innisfail - Ravenshoe), strategy upgrade, planning",351630,1250000,0,1250000,0,898370,351630,0,0,0,0,0,0,,,0,,
Far North,Various local governments,State,3245397,"Rocky Point (Weipa), upgrade boating facility",12000000,12000000,0,12000000,0,0,500000,4000000,7500000,7500000,7000000,500000,0,Project details and timing subject to further planning.,,1,-12.62091,141.87785
Far North,Various local governments,State,2902598,"Torres Strait Islands Marine Infrastructure Program, funding commitment",37632212,38682212,0,38682212,0,1050000,1500000,18132212,18000000,18000000,10000000,8000000,0,Project details and timing subject to further planning.,,0,,
Far North,Other works,,,Construction Works,101527217,0,71056700,30470517,0,0,6301545,587117,94638555,94638555,65502542,29136013,0,,,0,,
Far North,Other works,,,Corridor and Minor Safety Enhancements,17342210,0,244760,17097450,0,0,7935048,4784963,4622199,4622199,2249613,2372586,0,,,0,,
Far North,Other works,,,"Corridor, Roadway and Structures Management",4878115,0,0,4878115,0,0,828562,1318633,2730920,2730920,1338936,1391984,0,,,0,,
Far North,Other works,,,Local Government Transport Development,65948241,0,14166938,51781303,0,0,19198871,18022627,28726743,28726743,15280502,13446241,0,,,0,,
Far North,Other works,,,Natural Disaster Rehabilitation and Replacement,349926362,0,262144774,87781588,0,0,72534934,180391428,97000000,97000000,97000000,0,0,,,0,,
Far North,Other works,,,Programmed Maintenance,76370016,0,4699441,71670575,0,0,18827749,18935209,38607058,38607058,19434174,19172884,0,,,0,,
Far North,Other works,,,Rehabilitation,82194684,0,3061558,79133126,0,0,26081017,20653408,35460259,35460259,19256140,16204119,0,,,0,,
Far North,Other works,,,Routine Maintenance,117490066,0,3199528,114290538,0,0,28402281,28027593,61060192,61060192,29392862,31667330,0,,,0,,
Far North,Other works,,,Traffic Management Enhancements,3769000,0,0,3769000,0,0,1309000,1430000,1030000,1030000,1030000,0,0,,,0,,
Far North,Other works,,,Traffic Operations,5110000,0,231000,4879000,0,0,5110000,0,0,0,0,0,0,,,0,,
